id,Moitf_name,Cluster,myc_myb_down_count,myc_myb_down_freq,myc_myb_down_freq_norm,myc_down_myb_not_count,myc_down_myb_not_freq,myc_down_myb_not_freq_norm,myb_down_myc_not_count,myb_down_myc_not_freq,myb_down_myc_not_freq_norm,log2_myc_myb_down_freq_norm,log2_myc_down_myb_not_freq_norm,log2_myb_down_myc_not_freq_norm
MA1668.1,DPBF3,6,56,0.002901404,1.33619947,96,0.002146019,0.988317712,681,0.002924316,1.34675105,0.418135392,-0.016953199,0.42948319
MA1292.1,MYB27,18,21,0.001088027,1.33566244,29,0.000648276,0.795824846,185,0.000794418,0.975227838,0.417555444,-0.329477154,-0.036188786
MA0562.1,PIF5,8,49,0.002538729,1.331512719,101,0.00225779,1.184166281,484,0.002078368,1.090062862,0.41306621,0.243871679,0.124411335
MA0558.1,FLC,23,63,0.00326408,1.32695896,111,0.002481334,1.0087464,511,0.00219431,0.892061477,0.408123752,0.012563525,-0.164784957
MA1672.1,GBF2,6,57,0.002953215,1.323091882,118,0.002637815,1.181787069,701,0.003010199,1.348621596,0.403913253,0.240970118,0.431485605
MA0559.1,PI,23,125,0.006476348,1.316403979,250,0.00558859,1.135955345,1002,0.004302738,0.874588651,0.396602292,0.183906123,-0.193323467
MA0968.2,bZIP68,6,52,0.002694161,1.309820951,91,0.002034247,0.988990361,633,0.002718196,1.321506312,0.389369613,-0.015971635,0.402183316
MA1661.1,AT-GTL1,25,34,0.001761567,1.303805829,57,0.001274199,0.94308521,257,0.001103596,0.816815683,0.38272903,-0.084539967,-0.291917528
MA1375.1,ANL2,20,17,0.000880783,1.302962618,39,0.00087182,1.289703026,155,0.000665593,0.984626852,0.381795694,0.367038901,-0.022351011
MA1345.1,bZIP48,6,36,0.001865188,1.301624344,75,0.001676577,1.170001726,398,0.001709071,1.192677913,0.380313139,0.226510658,0.254204491
MA1351.1,GBF3,6,50,0.002590539,1.301381101,90,0.002011893,1.010692581,630,0.002705314,1.359039199,0.380043508,0.015344244,0.442587069
MA1378.1,PLT3,32,25,0.00129527,1.300879201,50,0.001117718,1.122558656,248,0.001064949,1.069561065,0.379487,0.166790831,0.097018853
UN0361.1,E2FD,25,44,0.002279675,1.296402903,91,0.002034247,1.156833317,391,0.001679012,0.954818926,0.374514156,0.210181008,-0.066700932
MA0556.1,AP3,23,52,0.002694161,1.295975711,98,0.002190727,1.053808437,454,0.001949544,0.937791548,0.37403868,0.075612635,-0.092660818
UN0373.1,NAC035,2,30,0.001554324,1.295260086,51,0.001140072,0.950053323,328,0.001408481,1.173725431,0.373241818,-0.073919606,0.231094959
MA1344.1,bZIP28,6,51,0.00264235,1.290890779,96,0.002146019,1.048413568,642,0.002756844,1.346825385,0.368366941,0.068207929,0.429562818
MA1393.2,MYB70,10,24,0.001243459,1.288871827,47,0.001050655,1.089026441,203,0.000871712,0.903548501,0.366108801,0.123038982,-0.14632605
MA0590.1,LFY,45,26,0.00134708,1.287351015,32,0.00071534,0.68362146,290,0.001245303,1.19008662,0.364405479,-0.548730409,0.251066583
MA1294.1,MYB62,18,21,0.001088027,1.287242873,47,0.001050655,1.243028644,228,0.000979066,1.158331831,0.364284282,0.313859542,0.212048606
MA0565.2,FUS3,33,30,0.001554324,1.286681439,71,0.00158716,1.313863377,380,0.001631777,1.350797726,0.36365491,0.393815264,0.433811656
MA1175.1,MYB81,10,20,0.001036216,1.286554122,37,0.000827111,1.026932424,193,0.000828771,1.028992754,0.363512149,0.03834125,0.041232823
MA1338.1,AREB3,6,52,0.002694161,1.284048052,95,0.002123664,1.012147054,698,0.002997316,1.428533069,0.360699192,0.017418913,0.514534433
UN0379.1,S1FA3,30,31,0.001606134,1.279205547,58,0.001296553,1.032639447,323,0.00138701,1.104684106,0.3552481,0.046336615,0.143633877
MA1227.2,ERF027,13,37,0.001916999,1.278254513,50,0.001117718,0.745294116,345,0.001481481,0.987851466,0.35417512,-0.424118225,-0.017633961
MA0008.1,HAT5,14,16,0.000828973,1.271242107,34,0.000760048,1.165545632,204,0.000876006,1.343369232,0.346238817,0.221005488,0.425855891
MA1339.1,bZIP43,6,38,0.00196881,1.269701212,75,0.001676577,1.081237945,425,0.001825013,1.176965711,0.34448904,0.112684048,0.23507229
MA1675.1,NAC029,2,20,0.001036216,1.266440901,48,0.001073009,1.311409264,251,0.001077831,1.317302745,0.340779755,0.391117991,0.397586947
MA1674.1,NAC017,17,46,0.002383296,1.258234094,116,0.002593106,1.369000743,488,0.002095545,1.106319028,0.33140036,0.45312323,0.145767474
MA1425.1,HYH,6,50,0.002590539,1.257619011,106,0.002369562,1.150342147,676,0.002902845,1.409232753,0.330694932,0.202063027,0.494909911
MA0565.1,FUS3,33,26,0.00134708,1.255689568,58,0.001296553,1.208590035,298,0.001279656,1.192839865,0.328479845,0.273324952,0.254400379
UN0370.1,NAC007,2,45,0.002331485,1.255072964,86,0.001922475,1.034896669,400,0.00171766,0.924641528,0.327771238,0.049486727,-0.113033936
UN0359.1,BHLH28,21,17,0.000880783,1.250900332,33,0.000737694,1.047682774,210,0.000901771,1.28070771,0.322966844,0.067201952,0.356941254
UN0348.1,ANAC076,2,45,0.002331485,1.244213182,81,0.001810703,0.966294217,399,0.001713366,0.914349271,0.315233696,-0.049465568,-0.129182731
MA1369.1,HDG1,20,17,0.000880783,1.243220215,46,0.001028301,1.451439877,160,0.000687064,0.96978635,0.314081868,0.537484812,-0.044261147
UN0380.1,SMB,2,44,0.002279675,1.240919209,84,0.001877766,1.02214426,392,0.001683306,0.916291886,0.311409191,0.031598825,-0.126120851
MA1427.1,NAC028,2,18,0.000932594,1.2408269,47,0.001050655,1.397908129,226,0.000970478,1.291231395,0.311301868,0.483269549,0.368747562
MA0563.1,Sep-03,23,57,0.002953215,1.236872411,110,0.00245898,1.029875696,523,0.00224584,0.940608022,0.306696687,0.042470217,-0.088334459
MA1390.1,HHO2,16,29,0.001502513,1.235211017,54,0.001207136,0.992382268,286,0.001228127,1.009639038,0.304757525,-0.011032138,0.013839599
UN0377.1,NAC101,2,43,0.002227864,1.2349184,80,0.001788349,0.991292614,386,0.001657542,0.918785333,0.304415716,-0.012617114,-0.122200268
MA1415.1,REF6,41,58,0.003005026,1.226587104,128,0.002861358,1.167945151,491,0.002108427,0.86061485,0.294649688,0.223972524,-0.216560361
MA0576.1,RAX3,18,42,0.002176053,1.225312859,81,0.001810703,1.019588191,421,0.001807837,1.017974126,0.293150159,0.027986569,0.025700893
MA0946.1,ARR11,16,16,0.000828973,1.221391379,21,0.000469442,0.6916657,167,0.000717123,1.056594344,0.288525567,-0.531853181,0.079421592
MA1387.1,AT1G13300,16,28,0.001450702,1.220152781,76,0.001698931,1.428932955,266,0.001142244,0.960715422,0.287061806,0.514938227,-0.057818948
MA1044.1,NAC92,2,33,0.001709756,1.219755196,79,0.001765995,1.259876297,386,0.001657542,1.182504996,0.286591629,0.333282087,0.241846279
UN0367.1,MYB58,18,76,0.00393762,1.219227286,135,0.003017839,0.934430331,711,0.00305314,0.945360875,0.285967095,-0.097840991,-0.081062937
MA1398.2,KUA1,24,23,0.001191648,1.214498766,52,0.001162427,1.184717116,259,0.001112185,1.133511548,0.280361024,0.244542617,0.180799089
MA1283.1,TCP14,3,38,0.00196881,1.211356169,74,0.001654223,1.017799084,448,0.001923779,1.183649763,0.276623116,0.025452798,0.243242257
UN0345.1,ANAC038,17,33,0.001709756,1.20992199,80,0.001788349,1.265538886,378,0.001623188,1.148661785,0.274914032,0.339751838,0.19995407
MA0564.1,ABI3,33,25,0.00129527,1.209566263,63,0.001408325,1.315140897,311,0.00133548,1.247116394,0.274489806,0.39521737,0.318596119
MA1400.1,At1g19000,24,24,0.001243459,1.209469444,55,0.00122949,1.195882267,268,0.001150832,1.119374466,0.274374322,0.258075365,0.162692744
UN0343.1,ANAC020,17,40,0.002072431,1.208961426,94,0.00210131,1.225807809,455,0.001953838,1.139779371,0.273768214,0.293732801,0.188754587
UN0378.1,NAC68,17,29,0.001502513,1.206025678,75,0.001676577,1.345742281,335,0.00143854,1.154676445,0.270260625,0.42840215,0.207488647
MA0948.1,ARR18,16,18,0.000932594,1.2054732,34,0.000760048,0.982440028,181,0.000777241,1.004663379,0.269599577,-0.025558753,0.006712195
MA1048.1,ERF018,13,30,0.001554324,1.203507115,67,0.001497742,1.159696342,295,0.001266774,0.980858514,0.267244671,0.213747096,-0.027883048
MA0940.1,AP1,23,80,0.004144863,1.202941885,173,0.003867305,1.122387548,679,0.002915727,0.846216281,0.266566947,0.166570909,-0.240901652
MA1293.1,MYB57,18,19,0.000984405,1.200055683,33,0.000737694,0.899298386,201,0.000863124,1.052206056,0.263101349,-0.153128215,0.073417259
MA1342.1,bZIP50,19,23,0.001191648,1.198827393,51,0.001140072,1.146940993,327,0.001404187,1.412646564,0.261623955,0.197791171,0.498400557
MA1172.1,MYB3R5,10,25,0.00129527,1.198480352,46,0.001028301,0.951460622,235,0.001009125,0.933717965,0.261206258,-0.071784146,-0.098941254
MA1069.1,TGA6,19,20,0.001036216,1.196984384,42,0.000938883,1.084550694,259,0.001112185,1.284739852,0.259404331,0.117097489,0.361476257
MA1026.2,ATHB15,34,32,0.001657945,1.189436911,54,0.001207136,0.866018701,277,0.001189479,0.853351871,0.250278752,-0.207529916,-0.22878735
MA1681.1,SRM1,24,25,0.00129527,1.183974876,49,0.001095364,1.001245634,271,0.001163714,1.063723397,0.243638467,0.001795952,0.089123052
MA1261.1,AT5G67000,11,66,0.003419512,1.182802661,103,0.002302499,0.796430089,626,0.002688137,0.929821606,0.242209394,-0.328380368,-0.104974145
MA1271.1,DAG2,15,50,0.002590539,1.182040171,113,0.002526043,1.15261098,452,0.001940955,0.885640787,0.241279066,0.204905668,-0.17520643
MA1203.1,AGL63,23,35,0.001813378,1.181901038,77,0.001721286,1.121878622,333,0.001429952,0.931996424,0.241109242,0.165916597,-0.101603676
UN0381.1,ZAT6,14,26,0.00134708,1.181056273,48,0.001073009,0.940763713,273,0.001172303,1.027819452,0.240077706,-0.088095681,0.039586861
MA1181.1,MYB113,10,15,0.000777162,1.181040498,37,0.000827111,1.256948061,157,0.000674181,1.024542849,0.240058436,0.329925037,0.034980323
MA1049.1,ERF094,1,42,0.002176053,1.179848423,74,0.001654223,0.896913835,348,0.001494364,0.810238942,0.238601526,-0.1569587,-0.303580669
MA1350.1,bZIP42,6,32,0.001657945,1.177561752,66,0.001475388,1.047899723,411,0.001764895,1.253523492,0.235802718,0.067500667,0.325989034
MA0581.1,LEC2,33,27,0.001398891,1.172318402,59,0.001318907,1.105289151,390,0.001674718,1.403470757,0.229364459,0.144423838,0.488999004
MA0938.1,NAC058,2,20,0.001036216,1.172068358,57,0.001274199,1.441251853,234,0.001004831,1.136568842,0.229056714,0.527322463,0.184685071
UN0360.1,CDF5,15,38,0.00196881,1.171536079,90,0.002011893,1.197172295,399,0.001713366,1.01953446,0.228401385,0.259630797,0.027910539
MA1059.2,SPL5,21,15,0.000777162,1.169837092,28,0.000625922,0.942180772,189,0.000811594,1.221667092,0.226307638,-0.085924205,0.2888512
MA1015.1,GATA12,12,12,0.000621729,1.168544919,33,0.000737694,1.386500985,170,0.000730005,1.372050289,0.224713193,0.471448641,0.456333361
UN0342.1,ANAC016,2,33,0.001709756,1.167799472,65,0.001453033,0.992452589,311,0.00133548,0.912161351,0.223792564,-0.010929911,-0.132639052
MA1065.2,TCP20,3,36,0.001865188,1.167350131,75,0.001676577,1.049305566,465,0.001996779,1.249707947,0.223237343,0.069434863,0.321590981
MA1337.1,bZIP44,6,31,0.001606134,1.165179258,64,0.001430679,1.037894241,392,0.001683306,1.221164191,0.220551925,0.053659444,0.28825719
MA1180.1,MYB3R4,10,25,0.00129527,1.1622142,55,0.00122949,1.103191572,233,0.001000537,0.89775748,0.216875987,0.14168334,-0.155602327
MA0554.1,SOC1,23,54,0.002797782,1.161969962,107,0.002391917,0.993406498,498,0.002138486,0.888152264,0.216572774,-0.009543911,-0.171121063
MA1269.1,dof4.5,15,30,0.001554324,1.159759622,81,0.001810703,1.351057479,266,0.001142244,0.852285911,0.213825816,0.434089054,-0.230590611
MA1349.1,bZIP16,6,45,0.002331485,1.155002007,94,0.00210131,1.040974656,600,0.00257649,1.276375379,0.207895359,0.057934945,0.352052685
MA0110.3,ATHB-5,14,26,0.00134708,1.15368756,57,0.001274199,1.091268941,286,0.001228127,1.051811313,0.206252568,0.126006695,0.072875919
