id,35S,BS,BS_35S,log2_BS_35S
AT1G35140,0.307679,0.316969,1.03019,0.042910441
AT5G03360,0.0956873,0.0981857,1.02611,0.037185398
AT5G01820,2.07575,2.12644,1.02442,0.034807324
AT3G19010,1.6796,1.70057,1.01249,0.017907659
AT1G35560,0.356724,0.356974,1.0007,0.001009533
AT5G67420,2.57558,2.57348,0.999185,-0.001176276
AT2G34720,0.972332,0.967888,0.995429,-0.006609677
AT5G59050,0.284505,0.282707,0.99368,-0.009146767
AT4G16780,0.312973,0.310376,0.991702,-0.01202143
AT2G46450,1.20809,1.18322,0.979415,-0.030007803
AT5G44390,0.147347,0.14345,0.973552,-0.038670056
AT5G55970,0.281758,0.274116,0.972879,-0.039667711
AT4G16370,4.06119,3.92935,0.967537,-0.047611262
AT4G20170,0.675249,0.652976,0.967015,-0.048389826
AT5G41740,0.460804,0.441227,0.957515,-0.062633007
AT4G21760,0.497011,0.474588,0.954884,-0.066602611
AT1G72910,0.965091,0.910958,0.943909,-0.083280315
AT5G06530,1.6042,1.50832,0.940232,-0.088911313
AT5G46520,0.0941878,0.0883907,0.938451,-0.091646676
AT4G11300,0.359971,0.3341,0.928132,-0.107598093
AT2G46340,2.18457,2.01129,0.920679,-0.119229855
AT5G56230,0.0245754,0.0225689,0.918353,-0.122879286
AT4G35270,0.405867,0.368211,0.907221,-0.140474059
AT1G69450,0.384792,0.347934,0.904215,-0.145262244
AT5G58120,0.399674,0.36112,0.903534,-0.146349204
AT1G73390,0.614821,0.554593,0.90204,-0.148736685
AT1G02220,0.166279,0.149545,0.899361,-0.153027771
AT5G05190,0.199895,0.179516,0.89805,-0.155132324
AT3G09600,0.865715,0.773179,0.893111,-0.163088604
AT4G23180,1.08315,0.966989,0.89276,-0.163655706
AT5G59070,0.0411933,0.0366913,0.89071,-0.166972304
AT5G43450,0.533569,0.47289,0.886278,-0.174168793
AT3G25510,0.0533977,0.0472971,0.885752,-0.175025277
AT4G12980,1.58732,1.40324,0.884035,-0.177824606
AT1G48260,0.0853423,0.0753961,0.883455,-0.178771444
AT3G15354,1.10022,0.96659,0.878538,-0.186823405
AT1G78600,0.33425,0.292396,0.874782,-0.19300456
AT2G46830,3.62254,3.16893,0.87478,-0.193007858
AT2G23100,0.0751962,0.065698,0.873688,-0.19480992
AT3G14810,0.50665,0.442026,0.872447,-0.196860603
AT4G12000,0.321664,0.278112,0.864604,-0.209888584
AT4G16940,0.0248762,0.0214653,0.862884,-0.212761468
AT3G05165,0.800995,0.69093,0.86259,-0.213253104
AT2G24600,0.468096,0.402072,0.858951,-0.219352262
AT4G33040,0.269022,0.230963,0.858529,-0.220061227
AT4G23260,0.638194,0.546603,0.856485,-0.223500115
AT4G09820,0.0409934,0.0348895,0.851101,-0.232597748
AT4G23990,0.149445,0.125565,0.84021,-0.251178138
AT3G60140,0.0488966,0.0409934,0.838368,-0.254344444
AT3G04110,0.275415,0.230664,0.837513,-0.255816511
AT4G19170,7.03878,5.89176,0.837042,-0.256628081
AT3G19580,0.407066,0.339644,0.834371,-0.26123908
AT1G48000,0.0206612,0.0170484,0.82514,-0.277289175
AT3G55580,0.0206612,0.0170484,0.82514,-0.277289175
AT5G01100,0.0941878,0.0776955,0.8249,-0.277708858
AT2G32400,0.266225,0.218376,0.820269,-0.285830988
AT3G29035,0.132859,0.108778,0.81875,-0.288505093
AT2G23620,0.03529,0.0288837,0.818467,-0.289003845
AT3G46660,0.0581982,0.0475969,0.817841,-0.290107705
AT5G10470,1.15056,0.932282,0.810285,-0.303498661
AT1G78070,0.781719,0.630802,0.806943,-0.309461325
AT3G46690,0.0196586,0.0158453,0.806023,-0.311107088
AT3G16560,0.508848,0.407765,0.80135,-0.319495599
AT1G06040,9.3883,7.51346,0.800301,-0.321385383
AT5G50640,0.198596,0.157737,0.794262,-0.332313113
AT3G28540,1.68559,1.33603,0.792616,-0.335306005
AT1G69440,0.138654,0.109378,0.788854,-0.342169782
AT3G59080,0.356924,0.28011,0.784788,-0.349625113
AT1G10150,0.816725,0.638893,0.782261,-0.354278054
AT1G74290,0.0440951,0.0342886,0.777607,-0.362886889
AT4G17840,2.49388,1.93209,0.774731,-0.368232626
AT5G40240,0.149445,0.115773,0.774688,-0.368312703
AT3G22550,0.770932,0.597043,0.774443,-0.368769036
AT5G59130,0.458906,0.355326,0.774289,-0.369055948
AT1G48100,0.109677,0.0848927,0.774022,-0.369553522
AT1G53090,0.693727,0.533219,0.768629,-0.379640685
AT4G32190,1.23635,0.949711,0.768155,-0.380530644
AT2G25625,0.112426,0.0862918,0.767546,-0.381674879
AT2G32390,0.101183,0.0773456,0.764411,-0.387579556
AT3G04060,0.0350896,0.0267803,0.763199,-0.389868814
AT5G42800,0.702716,0.535516,0.762066,-0.392012145
AT4G22470,0.0319867,0.0243746,0.762023,-0.392093552
AT1G55920,1.72255,1.31006,0.760537,-0.394909658
AT2G29650,3.51958,2.66576,0.75741,-0.400853626
AT4G23270,0.472091,0.355826,0.753722,-0.407895592
AT2G46790,0.585756,0.439229,0.74985,-0.415326067
AT1G30220,0.0252776,0.0188555,0.745936,-0.42287624
AT1G16130,0.0572483,0.0422935,0.738774,-0.436795001
AT5G36220,0.393032,0.289,0.735308,-0.443579414
AT5G07990,0.153141,0.112276,0.733151,-0.447817728
AT5G06720,0.054398,0.039793,0.731516,-0.451038675
AT2G20750,0.16483,0.120469,0.73087,-0.452313278
AT1G69730,0.956902,0.696074,0.727425,-0.459129586
AT1G19960,2.09228,1.50742,0.720465,-0.472999749
AT4G25640,1.58921,1.14272,0.719047,-0.47584202
AT5G43630,0.987364,0.704714,0.713733,-0.486543617
AT5G17050,0.739572,0.526177,0.711462,-0.491141392
AT5G27350,1.45623,1.02941,0.706902,-0.500417871
AT5G59540,1.3571,0.959099,0.706726,-0.500777109
AT1G04350,2.18377,1.53538,0.703088,-0.508222823
AT2G28110,0.0898902,0.0628984,0.699725,-0.515140057
AT2G19190,0.0609986,0.0422935,0.693353,-0.52833805
AT5G52450,0.182013,0.125415,0.689045,-0.53732989
AT1G68600,1.43021,0.98282,0.687185,-0.541229549
AT5G11920,0.190504,0.13046,0.684817,-0.546209579
AT4G13800,0.126564,0.0865916,0.684173,-0.547566924
AT2G26560,0.449317,0.30668,0.682547,-0.550999702
AT4G37990,0.21468,0.146348,0.681701,-0.552788996
AT3G05630,0.0708974,0.0482969,0.681222,-0.553803067
AT3G04640,0.387389,0.263878,0.68117,-0.553913197
AT1G21910,0.43873,0.298589,0.680577,-0.555169698
AT1G76930,0.503354,0.342191,0.679822,-0.556771045
AT4G21740,0.32516,0.220524,0.678201,-0.560215183
AT3G16175,0.0887907,0.0594983,0.670096,-0.5775603
AT1G72220,0.0245754,0.0164465,0.669229,-0.579428131
AT1G51805,2.88878,1.93318,0.669205,-0.57947987
AT3G48320,0.43803,0.292746,0.668323,-0.58138257
AT3G26590,0.536215,0.354027,0.660233,-0.598952845
AT5G24120,1.75351,1.15476,0.65854,-0.602657022
AT2G39030,0.363517,0.238855,0.657067,-0.605887608
AT5G45820,1.20829,0.790608,0.654321,-0.611929521
AT2G31380,2.84963,1.86327,0.653865,-0.612935294
AT1G79680,0.033688,0.0219671,0.652074,-0.616892398
AT1G80160,0.0484967,0.0313862,0.647181,-0.627758841
AT5G42010,0.050697,0.0327877,0.646739,-0.628744484
AT4G23250,0.409913,0.264927,0.6463,-0.629724103
AT5G02180,0.355726,0.228965,0.643656,-0.635638245
AT5G03210,0.0328877,0.021063,0.640452,-0.642837646
AT5G67140,0.342441,0.218676,0.63858,-0.647060726
AT3G44300,0.363117,0.231862,0.638533,-0.647166913
AT1G19610,0.033688,0.0214653,0.637179,-0.650229375
AT3G44450,1.07196,0.681042,0.635325,-0.654433305
AT3G03470,0.840646,0.533718,0.634891,-0.655419168
AT3G11670,1.09823,0.69133,0.629496,-0.667730884
AT1G19450,2.478,1.55915,0.629198,-0.66841401
AT1G01560,0.149645,0.093988,0.628074,-0.670993547
AT5G53970,0.651678,0.406517,0.6238,-0.680844542
AT1G69790,0.103681,0.0645985,0.623048,-0.682584781
AT1G24147,1.74817,1.08799,0.622361,-0.684176438
AT1G56120,0.495064,0.305931,0.617963,-0.694407634
AT4G16880,0.546803,0.337147,0.616578,-0.697644681
AT2G35060,0.872207,0.536715,0.615353,-0.700513839
AT3G12320,3.18491,1.93938,0.608927,-0.715658811
AT1G58520,1.14786,0.698921,0.608888,-0.715751214
AT1G09180,0.113375,0.068698,0.605937,-0.722760292
AT5G13330,0.0993847,0.0600984,0.604705,-0.725696587
AT3G46900,0.16533,0.0997844,0.603547,-0.728461973
AT5G45380,0.976977,0.586006,0.599815,-0.737410494
AT1G51800,0.0967867,0.0574982,0.594072,-0.751290302
AT3G05400,0.0229704,0.0136371,0.593681,-0.752240153
AT2G38790,0.33475,0.198396,0.59267,-0.754699062
AT4G36110,0.0865917,0.0509971,0.588938,-0.763812331
AT5G49740,4.17784,2.44794,0.585934,-0.771189927
